q_A^-1,two_theta_deg,intensity
1.6150001287460327,2.6496297307951227,16.156387329101562
1.6170001029968262,2.652911549473556,16.144704818725586
1.6190000772476196,2.6561933703283183,16.143461227416992
1.621000051498413,2.6594751933621064,16.115846633911133
1.6230000257492065,2.662757018577615,16.08836555480957
1.6250001192092896,2.6660390415922812,16.06632423400879
1.627000093460083,2.669320871179451,16.052297592163086
1.6290000677108765,2.672602702956432,16.0216064453125
1.63100004196167,2.6758845369259188,16.011337280273438
1.633000135421753,2.67916656870587,15.994486808776855
1.6350001096725464,2.682448407068589,15.991244316101074
1.6370000839233398,2.6857302476319025,15.976434707641602
1.6390000581741333,2.6890120903985073,15.970085144042969
1.6410000324249268,2.6922939353710995,15.955549240112305
1.6430001258850098,2.695575978168296,15.936576843261719
1.6450001001358032,2.6988578275610844,15.920867919921875
1.6470000743865967,2.7021396791679493,15.910391807556152
1.6490000486373901,2.7054215329915876,15.905529975891113
1.6510001420974731,2.7087035846511434,15.888731956481934
1.6530001163482666,2.7119854429165486,15.87741756439209
1.65500009059906,2.715267303406817,15.846595764160156
1.6570000648498535,2.718549166124643,15.83902359008789
1.659000039100647,2.7218310310727247,15.80916976928711
1.66100013256073,2.725113093870871,15.804620742797852
1.6630001068115234,2.728394963287685,15.784749984741211
1.665000081062317,2.731676834942844,15.766541481018066
1.6670000553131104,2.734958708839044,15.735795974731445
1.6690001487731934,2.7382407805966285,15.711540222167969
1.6710001230239868,2.741522658983135,15.673674583435059
1.6730000972747803,2.7448045396187712,15.656435012817383
1.6750000715255737,2.748086422506235,15.655253410339355
1.6770000457763672,2.7513683076482236,15.644335746765137
1.6790001392364502,2.7546503906657502,15.635368347167969
1.6810001134872437,2.7579322803250106,15.62493896484375
1.683000087738037,2.761214172246885,15.628150939941406
1.6850000619888306,2.7644960664340705,15.592329978942871
1.687000036239624,2.7677779628892623,15.574469566345215
1.689000129699707,2.771060057234153,15.585162162780762
1.6910001039505005,2.7743419582335855,15.598373413085938
1.693000078201294,2.777623861509115,15.593141555786133
1.6950000524520874,2.780905767063439,15.562357902526855
1.6970001459121704,2.7841878705187915,15.524259567260742
1.6990001201629639,2.78746978063893,15.492624282836914
1.7010000944137573,2.7907516930459537,15.482943534851074
1.7030000686645508,2.7940336077425583,15.476141929626465
1.7050000429153442,2.7973155247314416,15.4592866897583
1.7070001363754272,2.8005976396355203,15.448827743530273
1.7090001106262207,2.8038795612171867,15.43469524383545
1.7110000848770142,2.8071614850992233,15.411062240600586
1.7130000591278076,2.8104434112843246,15.379188537597656
